Friulimicin B,Molecular Weight,1303.5 g/mol,Computed by PubChem 2.1 (PubChem release 2019.06.18)
Friulimicin B,XLogP3-AA,-3,Computed by XLogP3 3.0 (PubChem release 2019.06.18)
Friulimicin B,Hydrogen Bond Donor Count,15,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Friulimicin B,Hydrogen Bond Acceptor Count,20,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Friulimicin B,Rotatable Bond Count,23,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Friulimicin B,Exact Mass,1302.681967 g/mol,Computed by PubChem 2.1 (PubChem release 2019.06.18)
Friulimicin B,Monoisotopic Mass,1302.681967 g/mol,Computed by PubChem 2.1 (PubChem release 2019.06.18)
Friulimicin B,Topological Polar Surface Area,513 Å²,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Friulimicin B,Heavy Atom Count,92,Computed by PubChem
Friulimicin B,Formal Charge,0,Computed by PubChem
Friulimicin B,Complexity,2730,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Friulimicin B,Isotope Atom Count,0,Computed by PubChem
Friulimicin B,Defined Atom Stereocenter Count,12,Computed by PubChem
Friulimicin B,Undefined Atom Stereocenter Count,0,Computed by PubChem
Friulimicin B,Defined Bond Stereocenter Count,1,Computed by PubChem
Friulimicin B,Undefined Bond Stereocenter Count,0,Computed by PubChem
Friulimicin B,Covalently-Bonded Unit Count,1,Computed by PubChem
Friulimicin B,Compound Is Canonicalized,Yes,Computed by PubChem (release 2019.01.04)
Tridecaptin A,Molecular Weight,1550.8 g/mol,Computed by PubChem 2.1 (PubChem release 2019.06.18)
Tridecaptin A,XLogP3-AA,-5.2,Computed by XLogP3 3.0 (PubChem release 2019.06.18)
Tridecaptin A,Hydrogen Bond Donor Count,22,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Tridecaptin A,Hydrogen Bond Acceptor Count,23,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Tridecaptin A,Rotatable Bond Count,52,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Tridecaptin A,Exact Mass,1549.850429 g/mol,Computed by PubChem 2.1 (PubChem release 2019.06.18)
Tridecaptin A,Monoisotopic Mass,1549.850429 g/mol,Computed by PubChem 2.1 (PubChem release 2019.06.18)
Tridecaptin A,Topological Polar Surface Area,607 Å²,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Tridecaptin A,Heavy Atom Count,110,Computed by PubChem
Tridecaptin A,Formal Charge,0,Computed by PubChem
Tridecaptin A,Complexity,3020,Computed by Cactvs 3.4.6.11 (PubChem release 2019.06.18)
Tridecaptin A,Isotope Atom Count,0,Computed by PubChem
Tridecaptin A,Defined Atom Stereocenter Count,13,Computed by PubChem
Tridecaptin A,Undefined Atom Stereocenter Count,1,Computed by PubChem
Tridecaptin A,Defined Bond Stereocenter Count,0,Computed by PubChem
